"","company","means_of_exchange","orig_yr","orig_loc_port_modern","orig_loc_region_modern","orig_loc_lat","orig_loc_long","dest_yr","dest_loc_port","dest_loc_region","dest_loc_lat","dest_loc_long","textile_quantity","textile_unit","textile_category","textile_name","textile_color_arch","textile_pattern_arch","textile_process_arch","textile_fiber_arch","textile_geography_arch","textile_quality_arch","textile_quality_inferred","value_per_piece","deb_dec","quant_ells","units_ells","ID","colorGroup","orig_country","dest_country"
"1","VOC","1 ship: Eddemonij",1712,"Nagapattinam","Southeast coast of India",16.1905,81.1361,1712,"Jaffna","Sri Lanka",7.873,80.7717,100,"pees",NA,"Morees","black",NA,"bleached",NA,NA,"fijn (fine)","Mid-range",9,828.775,NA,NA,"VOC_1","black","India","Sri Lanka"
"2","VOC","1 ship: Taxisboom",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Jambi","Sumatra, Indonesia",-1.6101,103.6131,10,"el",NA,"Fluweel","black",NA,NA,NA,"Holland",NA,"Mid-range",9,88,NA,NA,"VOC_2","black","Indonesia","Indonesia"
"3","VOC","2 ships: Hof van Ilpendam, Larique",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Ternate","Maluku, Indonesia",0.771,127.3695,11,"el",NA,"Fluweel","black",NA,NA,NA,"Holland",NA,"Mid-range",10,101.25,NA,NA,"VOC_3","black","Indonesia","Indonesia"
"4","VOC","2 ships: Hof van Ilpendam, Larique",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Ternate","Maluku, Indonesia",0.771,127.3695,11,"el",NA,"Fluweel","black",NA,NA,NA,"Holland",NA,"Mid-range",10,101.275,NA,NA,"VOC_4","black","Indonesia","Indonesia"
"5","VOC","1 ship: Beieren",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1710,"Semarang","Northeast coast of Java, Indonesia",-7.2651,112.745,57,"el",NA,"Fluweel","black",NA,NA,NA,"Holland",NA,"Mid-range",10,530.325,NA,NA,"VOC_5","black","Indonesia","Indonesia"
"6","VOC","1 ship: Bombardeerder",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Padang","Sumatra, Indonesia",-0.947,100.4171,31,"el",NA,"Ras","black",NA,NA,NA,"Morocco",NA,"Inexpensive",2,47.775,NA,NA,"VOC_6","black","Indonesia","Indonesia"
"7","VOC","1 ship: Avonturier",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,NA,"West Timor, Indonesia",-10.1771,123.607,20,"el",NA,"Ras","black",NA,NA,NA,"Morocco",NA,"Inexpensive",2,31.5,NA,NA,"VOC_7","black","Indonesia","Indonesia"
"8","VOC","1 ship: Koning Karel de Derde",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Delft","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,393.8,NA,NA,"VOC_8","black","Indonesia","Netherlands"
"9","VOC","1 ship: Berbices",1714,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Amsterdam","Netherlands",52.3679,4.9035,160,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,644.15,NA,NA,"VOC_9","black","Indonesia","Netherlands"
"10","VOC","1 ship: Zanderburg",1714,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Zeeland","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,331.475,NA,NA,"VOC_10","black","Indonesia","Netherlands"
"11","VOC","1 ship: Horstendaal",1714,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Delft","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,331.475,NA,NA,"VOC_11","black","Indonesia","Netherlands"
"12","VOC","1 ship: Beverwijk",1714,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Hoorn","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,331.475,NA,NA,"VOC_12","black","Indonesia","Netherlands"
"13","VOC","2 ships: Overnes, Peter en Paul",1715,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1715,"Ternate","Maluku, Indonesia",0.771,127.3695,960,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",4,2910.4,NA,NA,"VOC_13","black","Indonesia","Indonesia"
"14","VOC","1 ship: Theeboom",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Banda-Neira","Banda Islands, Maluku, Indonesia",-4.5549,129.8575,1920,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Inexpensive",3,4305.825,NA,NA,"VOC_14","black","Indonesia","Maluku"
"15","VOC","2 ships: Schoonderloo, Maleijer",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Padang","Sumatra, Indonesia",-0.947,100.4171,1600,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Inexpensive",3,3590,NA,NA,"VOC_15","black","Indonesia","Indonesia"
"16","VOC","1 ship: Wijnendaal",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Padang","Sumatra, Indonesia",-0.947,100.4171,640,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Inexpensive",3,1436,NA,NA,"VOC_16","black","Indonesia","Indonesia"
"17","VOC","4 ships: Haak, Peter en Paul, Ter Eem, Hamer",1713,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Ternate","Maluku, Indonesia",0.771,127.3695,960,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Inexpensive",3,2154,NA,NA,"VOC_17","black","Indonesia","Indonesia"
"18","VOC","1 ship: Huis ter Boede",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1713,"Cape of Good Hope","South Africa",-34.3568,18.4739,960,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Inexpensive",3,2154,NA,NA,"VOC_18","black","Indonesia","South Africa"
"19","VOC","1 ship: Noordbeek",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Amsterdam","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,390.1,NA,NA,"VOC_19","black","Indonesia","Netherlands"
"20","VOC","1 ship: Mijnden",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Amsterdam","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,390.1,NA,NA,"VOC_20","black","Indonesia","Netherlands"
"21","VOC","1 ship: Herstelde Leeuw",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Zeeland","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,390.1,NA,NA,"VOC_21","black","Indonesia","Netherlands"
"22","VOC","1 ship: Wassenaar",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Delft","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,390.1,NA,NA,"VOC_22","black","Indonesia","Netherlands"
"23","VOC","1 ship: Huis te Hemert",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Enkhuizen","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,390.1,NA,NA,"VOC_23","black","Indonesia","Netherlands"
"24","VOC","2 ships: Schoonderloo, Driebergen",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Padang","Sumatra, Indonesia",-0.947,100.4171,2000,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,8807.55,NA,NA,"VOC_24","black","Indonesia","Indonesia"
"25","VOC","2 ships: Haringtuin, Bon",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Ambon","Maluku, Indonesia",-3.6255,128.1054,640,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,2806.725,NA,NA,"VOC_25","black","Indonesia","Indonesia"
"26","VOC","1 ship: Theeboom",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Banda-Neira","Banda Islands, Maluku, Indonesia",-4.5549,129.8575,160,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,699.8,NA,NA,"VOC_26","black","Indonesia","Maluku"
"27","VOC","1 ship: Lokhorst",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Banda-Neira","Banda Islands, Maluku, Indonesia",-4.5549,129.8575,480,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,2099.4,NA,NA,"VOC_27","black","Indonesia","Maluku"
"28","VOC","1 ship: Gelukkig Uur",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Ternate","Maluku, Indonesia",0.771,127.3695,160,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,715,NA,NA,"VOC_28","black","Indonesia","Indonesia"
"29","VOC","1 ship: Gent",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Makassar","South Sulawesi, Indonesia",-5.1476,119.4327,320,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,1397.3,NA,NA,"VOC_29","black","Indonesia","Indonesia"
"30","VOC","1 ship: Duivenvoorde",1710,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1711,"Cape of Good Hope","South Africa",-34.3568,18.4739,320,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,1399.6,NA,NA,"VOC_30","black","Indonesia","South Africa"
"31","VOC","1 ship: Amazone",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Amsterdam","Netherlands",52.3679,4.9035,160,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,787.6,NA,NA,"VOC_31","black","Indonesia","Netherlands"
"32","VOC","1 ship: Schonewal",1711,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Zeeland","Netherlands",52.3679,4.9035,80,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,393.8,NA,NA,"VOC_32","black","Indonesia","Netherlands"
"33","VOC","2 ships: Schoonderloo, Maleijer",1712,"Jakarta","Northwest coast of Java, Indonesia",-6.1804,106.8283,1712,"Padang","Sumatra, Indonesia",-0.947,100.4171,800,"pees",NA,"Baftas","black",NA,NA,NA,"Surat",NA,"Mid-range",5,3493.25,NA,NA,"VOC_33","black","Indonesia","Indonesia"
